County_Name,County_Crime_Pop,County_Total_Crimes,County_Total_Crime_Rate,County_Violent_Crimes,County_Violent_Rate,County_Property_Crimes,County_Property_Rate,County_Society_Crimes,County_Society_Rate,County_Other_Crimes,County_Other_Rate
Appleton County,159808,17393,108.8,2932,18.34701642,12171,76.2,1572,9.8,718,4.49289147
Farm County,,,,,,,,,,,
Lake County,85945,7418,86.3,1294,15.05614056,5288,61.5,599,7,237,2.757577521
Power County,174226,11993,68.8,2250,12.91426079,7507,43.1,1744,10,492,2.823918359
Rail County,82500,5219,63.3,1055,12.78787879,3245,39.3,666,8.1,253,3.066666667
River County,27360,1354,49.5,224,8.187134503,953,34.8,139,5.1,38,1.388888889
