County_Name,County_Total_Census_Pop,County_Non-Hispanic_White,County_Non-Hispanic_Black,County_Non-Hispanic_Native_American,County_Non-Hispanic_Asian,County_Non-Hispanic_Pacific_Islander,County_Non-Hispanic_Two_or_more,County_Hispanic_White,County_Hispanic_Black,County_Hispanic_Native_American,County_Hispanic_Asian,County_Hispanic_Pacific_Islander,County_Hispanic_Two_or_more
Appleton County,246977,114474,1918,9195,2629,183,4200,103919,1590,5002,870,312,2685
Farm County,76820,52523,596,2443,708,105,1439,17409,193,838,132,36,398
Lake County,91723,51806,788,774,851,73,1509,33452,804,941,154,51,520
Power County,182398,134533,2265,1351,5089,223,3963,32294,485,776,278,112,1029
Rail County,85845,37009,1702,421,1593,123,1267,41344,549,721,232,204,680
River County,59404,43588,974,439,787,158,1161,11455,159,342,72,26,243
